team_id_a,home_points_avg,team_id_b,away_points_avg
ARI,79.7,ARI,70.5
ASV,77.59770114942529,ASV,72.4
AVE,74.0,AVE,76.8
BAM,78.48684210526316,BAM,72.10526315789474
BAR,80.95366795366796,BAR,77.38709677419355
BAS,82.54700854700855,BAS,78.93617021276596
BER,76.69911504424779,BER,76.52173913043478
BES,67.5,BES,65.16666666666667
BIL,78.7,BIL,72.2
BUD,75.86666666666666,BUD,72.8
CAN,81.6,CAN,73.86666666666666
CED,77.0,CED,70.86363636363636
CHA,71.0,CHA,71.0
CHL,82.0,CHL,74.4
CHO,74.8,CHO,66.2
CIB,75.96428571428571,CIB,69.14285714285714
CSK,84.97652582159624,CSK,80.92682926829268
CTU,73.61538461538461,CTU,68.84615384615384
DAR,76.95454545454545,DAR,75.1590909090909
DYR,76.17777777777778,DYR,75.42222222222222
GAL,77.64583333333333,GAL,72.08163265306122
GSS,72.1,GSS,65.0
IST,80.90829694323143,IST,78.87124463519314
JOV,85.0,JOV,75.0
KHI,81.4949494949495,KHI,77.34
KLA,84.0,KLA,68.6
KSK,71.6,KSK,68.0
LEM,76.83333333333333,LEM,71.66666666666667
LIE,75.36363636363636,LIE,74.75757575757575
LJU,74.34285714285714,LJU,66.4
LMG,71.0,LMG,69.0
MAD,86.0,MAD,79.8452380952381
MAL,78.04761904761905,MAL,73.23809523809524
MAR,71.75,MAR,73.625
MCO,84.33333333333333,MCO,80.56896551724138
MIL,78.535,MIL,76.77114427860697
MUN,78.925,MUN,75.472
NAN,73.0,NAN,71.9
NIK,80.6,NIK,66.8
NIO,66.6,NIO,67.0
NOV,79.83333333333333,NOV,77.25
NTR,71.0,NTR,65.4
OLD,64.8,OLD,66.6
OLY,81.10756972111554,OLY,76.69411764705882
ORL,71.0,ORL,73.4
PAM,80.53684210526316,PAM,77.125
PAN,80.63934426229508,PAN,75.17427385892117
PAR,78.5979381443299,PAR,73.19
RED,78.26760563380282,RED,73.97183098591549
ROA,85.0,ROA,72.71428571428571
ROM,74.61290322580645,ROM,72.6774193548387
SAS,72.5,SAS,72.3
SIE,80.72058823529412,SIE,75.88235294117646
SOP,71.025,SOP,69.575
STR,76.8,STR,64.8
TEL,82.15217391304348,TEL,78.68376068376068
TIV,74.55555555555556,TIV,78.64285714285714
ULK,81.00425531914894,ULK,77.02991452991454
UNK,75.23809523809524,UNK,74.4047619047619
VIR,81.02439024390245,VIR,74.67441860465117
ZAG,68.4,ZAG,75.2
ZAL,78.17808219178082,ZAL,74.65
ZGO,79.0,ZGO,75.6
