team_id_a,point_diff_avg_a,team_id_b,point_diff_avg_b
ARI,-0.4,ARI,-6.1
ASV,-3.1954022988505746,ASV,-9.68235294117647
AVE,-3.4,AVE,-8.6
BAM,0.2894736842105263,BAM,-8.223684210526315
BAR,8.494208494208495,BAR,2.3911290322580645
BAS,5.683760683760684,BAS,-3.370212765957447
BER,-2.6106194690265485,BER,-7.843478260869565
BES,-7.5,BES,-14.25
BIL,8.7,BIL,-8.7
BUD,-4.4,BUD,-16.933333333333334
CAN,-3.7333333333333334,CAN,-16.333333333333332
CED,-3.1818181818181817,CED,-10.090909090909092
CHA,-3.0,CHA,-14.8
CHL,-6.4,CHL,-5.8
CHO,1.6,CHO,-15.4
CIB,-2.7142857142857144,CIB,-13.5
CSK,10.169014084507042,CSK,4.560975609756097
CTU,4.076923076923077,CTU,-7.769230769230769
DAR,-0.22727272727272727,DAR,-9.136363636363637
DYR,0.5777777777777777,DYR,-1.6666666666666667
GAL,-0.2916666666666667,GAL,-8.183673469387756
GSS,-8.4,GSS,-9.2
IST,4.497816593886463,IST,-2.755364806866953
JOV,3.8,JOV,-5.8
KHI,2.7474747474747474,KHI,-6.58
KLA,3.2,KLA,-22.0
KSK,1.0,KSK,-15.8
LEM,-6.583333333333333,LEM,-8.333333333333334
LIE,1.7575757575757576,LIE,-5.909090909090909
LJU,-3.6,LJU,-14.114285714285714
LMG,-6.5,LMG,-16.4
MAD,9.60546875,MAD,2.5555555555555554
MAL,3.0761904761904764,MAL,-4.190476190476191
MAR,-3.375,MAR,-3.25
MCO,5.716666666666667,MCO,-1.9827586206896552
MIL,1.25,MIL,-4.7711442786069655
MUN,0.9083333333333333,MUN,-5.712
NAN,-5.4,NAN,-18.5
NIK,-4.2,NIK,-14.8
NIO,-10.2,NIO,-14.2
NOV,-4.083333333333333,NOV,-6.166666666666667
NTR,-1.2,NTR,-13.0
OLD,-14.0,OLD,-14.6
OLY,7.840637450199203,OLY,-1.5058823529411764
ORL,-7.0,ORL,-6.2
PAM,2.231578947368421,PAM,-5.489583333333333
PAN,5.774590163934426,PAN,-3.099585062240664
PAR,3.711340206185567,PAR,-7.05
RED,2.528169014084507,RED,-6.71830985915493
ROA,-7.142857142857143,ROA,-10.0
ROM,0.5161290322580645,ROM,-8.870967741935484
SAS,-9.9,SAS,-15.1
SIE,8.102941176470589,SIE,1.1911764705882353
SOP,-4.925,SOP,-11.65
STR,0.1,STR,-19.7
TEL,6.104347826086957,TEL,-3.3461538461538463
TIV,5.407407407407407,TIV,1.2857142857142858
ULK,5.25531914893617,ULK,-2.094017094017094
UNK,2.7142857142857144,UNK,-3.642857142857143
VIR,0.0975609756097561,VIR,-10.604651162790697
ZAG,-12.4,ZAG,-17.4
ZAL,1.447488584474886,ZAL,-5.695454545454545
ZGO,-11.6,ZGO,-13.2
